@@черный + духовенство/священник/поп/монах;semf2='r:rel t:species';Ex:Ч. хлеб (ржаной)
@@черный&sg + кость&sg;semf2='r:rel t:species';Ex:Ч. хлеб (ржаной)
@@черный + золото;semf2='r:rel t:species';Ex:Ч. хлеб (ржаной)
@@черный + изба/баня;semf2='r:rel t:species';Ex:Ч. хлеб (ржаной)
@@черный + магия/братство/секта/мафия/маг/юморист;semf2='r:rel t:species';Ex:Ч. хлеб (ржаной)
@@черный + сотня/бригада;semf2='r:rel t:species';Ex:Ч. хлеб (ржаной)
@@черный + мука&sg;semf2='r:rel t:species';Ex:Ч. хлеб (ржаной)
@@черный + металл/металлургия/порох;semf2='r:rel t:species';Ex:Ч. хлеб (ржаной)
@@черный + горох/горошек/горошина;semf='r:qual t:physq:color';Ex:Ч. цвет
@@черный + t:food/t:fruit;semf2='r:rel t:species';Ex:Ч. хлеб (ржаной)
@@черный + фигура/ферзь/ладья/пешка/шашка/слон;semf2='r:rel t:species';Ex:Ч. хлеб (ржаной)
@@черный + король&sg;semf2='r:rel t:species';Ex:Ч. хлеб (ржаной)
@@черный + королева&sg;semf2='r:rel t:species';Ex:Ч. хлеб (ржаной)
@@черный + ход/крыльцо;semf2='r:rel t:species';Ex:Ч. хлеб (ржаной)
@@черный + работа/труд;semf2='r:rel t:species';Ex:Ч. хлеб (ржаной)
@@черный + народ;semf2='r:rel t:species';Ex:Ч. хлеб (ржаной)
@@черный + земля;semf='r:qual t:physq:color' semf2='r:rel t:species';Ex:Ч. цвет Ex:Ч. хлеб (ржаной)
@@черный + душа;semf2='r:qual ev:neg der:shift dt:physq:color';Ex:Черные мысли
@@черный + t:prof;semf2='r:rel ev:neg der:shift dt:physq:color';Ex:Черная магия
@@черный + биржа/рынок/маклер/бизнес;semf2='r:rel ev:neg der:shift dt:physq:color';Ex:Черная магия
@@черный + t:time:week/t:time:month;semf2='r:rel ev:neg der:shift dt:physq:color';Ex:Черная магия
@@черный + племя/компания/семья;semf2='r:rel t:race';Ex:Гетто для черных (сущ.) в США
@@черный + население/раса;semf2='r:rel t:race';Ex:Гетто для черных (сущ.) в США
